buying,maint,doors,persons,lug_boot,safety,class,buying_num,maint_num,lug_boot_num,safety_num,doors_num,persons_num,avg_score,risk_index,performance_index,cost_index,utility_score,class_label_num
vhigh,high,5more,4,small,med,unacc,1.0,0.6666666666666666,1.0,0.5,5,4,0.7916666666666666,-0.5,1.0,1.6666666666666665,2.5,0
vhigh,low,5more,4,big,high,unacc,1.0,0.0,0.0,1.0,5,4,0.5,0.0,2.0,1.0,2.0,0
low,low,2,more,small,high,unacc,0.0,0.0,1.0,1.0,2,5,0.5,1.0,5.0,0.0,3.0,0
high,med,4,2,big,high,unacc,0.6666666666666666,0.3333333333333333,0.0,1.0,4,2,0.5,0.3333333333333333,1.2000000000000002,1.0,1.0,0
med,vhigh,4,more,small,low,good,0.3333333333333333,1.0,1.0,0.0,4,5,0.5833333333333333,-0.3333333333333333,0.0,1.3333333333333333,3.0,2
high,med,2,more,big,high,unacc,0.6666666666666666,0.3333333333333333,0.0,1.0,2,5,0.5,0.3333333333333333,3.0000000000000004,1.0,2.5,0
high,vhigh,3,2,small,high,unacc,0.6666666666666666,1.0,1.0,1.0,3,2,0.9166666666666666,0.3333333333333333,1.2000000000000002,1.6666666666666665,1.5,0
vhigh,vhigh,3,2,small,med,unacc,1.0,1.0,1.0,0.5,3,2,0.875,-0.5,0.5,2.0,1.5,0
med,low,3,4,med,med,vgood,0.3333333333333333,0.0,0.5,0.5,3,4,0.3333333333333333,0.1666666666666666,1.5,0.3333333333333333,2.25,3
high,med,3,more,small,high,acc,0.6666666666666666,0.3333333333333333,1.0,1.0,3,5,0.75,0.3333333333333333,3.0000000000000004,1.0,3.0,1
low,high,4,2,big,high,vgood,0.0,0.6666666666666666,0.0,1.0,4,2,0.4166666666666666,1.0,2.0,0.6666666666666666,1.0,3
low,vhigh,3,4,small,high,acc,0.0,1.0,1.0,1.0,3,4,0.75,1.0,4.0,1.0,2.5,1
med,med,5more,2,small,high,unacc,0.3333333333333333,0.3333333333333333,1.0,1.0,5,2,0.6666666666666666,0.6666666666666667,1.5,0.6666666666666666,1.5,0
